Job_Title,Salary_Estimate,Company_Name,Location,Headquarters,Industry,Sector,Revenue,Competitors,Hourly,Employer_provided,Min_Salary,Max_Salary,Avg_Salary,company_txt,Job_Location,Python,Spark,AWS,Excel,SQL,SAS,Keras,PyTorch,Scikit_Learn,TensorFlow,Hadoop,Tableau,Power_BI,Flink,MongoDB,Google_Analytics,Job_Category,Seniority_Title,Degree_Required,Company_Rating,State_Wise,Company_Man_Power,Company_Man_Power_Category,Founded_Year,Company_Age,Ownership_Type
data scientist,$92K-$149K (Glassdoor est.),Scale AI,"San Francisco, CA","San Francisco, CA",Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,-1,0,0,92,149,120.5,Scale AI,CA,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Data Scientist,Not Specified,PhD,3.5,CA,51 - 200,Small,2016,10,Private
product engineer   data science,$63K-$101K (Glassdoor est.),Esri,"Arlington, VA","Redlands, CA",Computer Hardware & Software,Information Technology,$1 to $2 billion (USD),Pitney Bowes,0,0,63,101,82.0,Esri,VA,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Data Scientist,Not Specified,Masters,3.5,VA,1001 - 5000,Large,1969,57,Private
principal scientist  chemistry   immunology,$54K-$115K (Glassdoor est.),Rochester Regional Health,"Rochester, NY","Rochester, NY",Health Care Services & Hospitals,Health Care,$500 million to $1 billion (USD),-1,0,0,54,115,84.5,Rochester Regional Health,NY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Other Scientist,Senior,PhD,3.3,NY,10000+,Very Large,2014,12,Healthcare
data scientist,$118K-$188K (Glassdoor est.),Change Healthcare,"Emeryville, CA","Nashville, TN",IT Services,Information Technology,Unknown / Non-Applicable,-1,0,0,118,188,153.0,Change Healthcare,CA,1,1,1,0,1,0,1,1,0,1,0,0,0,0,0,0,Data Scientist,Not Specified,PhD,2.7,CA,10000+,Very Large,2007,19,Public
data scientist,$108K-$146K (Glassdoor est.),MZ,"Palo Alto, CA","Palo Alto, CA",Internet,Information Technology,Unknown / Non-Applicable,-1,0,0,108,146,127.0,MZ,CA,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,Data Scientist,Not Specified,Masters,3.4,CA,501 - 1000,Medium,2008,18,Private
data scientist,$65K-$106K (Glassdoor est.),HG Insights,"Santa Barbara, CA","Santa Barbara, CA",Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,-1,0,0,65,106,85.5,HG Insights,CA,1,1,0,1,1,0,0,0,1,1,1,0,0,0,0,0,Data Scientist,Not Specified,PhD,4.7,CA,51 - 200,Small,2010,16,Private
data scientist,$55K-$98K (Glassdoor est.),"1-800-FLOWERS.COM, Inc.","Carle Place, NY","Carle Place, NY",Wholesale,Business Services,$1 to $2 billion (USD),-1,0,0,55,98,76.5,"1-800-FLOWERS.COM, Inc.",NY,1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,Data Scientist,Not Specified,Not_Specified,2.8,NY,1001 - 5000,Large,1976,50,Public
data scientist,$94K-$162K (Glassdoor est.),CBS Interactive,"New York, NY","San Francisco, CA",TV Broadcast & Cable Networks,Media,$500 million to $1 billion (USD),"NBCUniversal, Comcast, Netflix",0,0,94,162,128.0,CBS Interactive,NY,1,1,0,0,1,0,1,0,1,1,1,1,0,0,1,1,Data Scientist,Not Specified,Not_Specified,3.5,NY,1001 - 5000,Large,1992,34,Subsidiary
data engineer,$63K-$120K (Glassdoor est.),"Numeric, LLC","King of Prussia, PA","Chadds Ford, PA",Staffing & Outsourcing,Business Services,$5 to $10 million (USD),-1,0,0,63,120,91.5,"Numeric, LLC",PA,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,Data Engineer,Not Specified,Not_Specified,3.2,PA,Unknown,Unknown,,,Private
scientist senior scientist  autoimmune,$90K-$179K (Glassdoor est.),Rubius Therapeutics,"Cambridge, MA","Cambridge, MA",Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$100 to $500 million (USD),-1,0,0,90,179,134.5,Rubius Therapeutics,MA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Other Scientist,Senior,PhD,4.4,MA,201 - 500,Medium,2013,13,Public
data scientist,$127K-$202K (Glassdoor est.),Samba TV,"San Francisco, CA","San Francisco, CA",Advertising & Marketing,Business Services,Unknown / Non-Applicable,-1,0,0,127,202,164.5,Samba TV,CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Data Scientist,Not Specified,Not_Specified,3.3,CA,201 - 500,Medium,2008,18,Private
software engineer   data visualization,$60K-$127K (Glassdoor est.),ClearEdge,"Annapolis Junction, MD","Annapolis Junction, MD",Computer Hardware & Software,Information Technology,$5 to $10 million (USD),-1,0,0,60,127,93.5,ClearEdge,MD,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Other,Not Specified,Masters,4.0,MD,51 - 200,Small,2002,24,Private
market data analyst,$31K-$57K (Glassdoor est.),SV Microwave,"West Palm Beach, FL","West Palm Beach, FL",Telecommunications Manufacturing,Telecommunications,$50 to $100 million (USD),-1,0,0,31,57,44.0,SV Microwave,FL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Data Analyst,Not Specified,Masters,3.4,FL,201 - 500,Medium,1991,35,Public
staff data engineer,$105K-$194K (Glassdoor est.),Sumo Logic,"Austin, TX","Redwood City, CA",Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,"Splunk, Datadog, Elastic",0,0,105,194,149.5,Sumo Logic,TX,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Data Engineer,Not Specified,Masters,3.8,TX,501 - 1000,Medium,2010,16,Private
associate data engineer,$45K-$86K (Glassdoor est.),EAB,"Washington, DC","Washington, DC",Research & Development,Business Services,Unknown / Non-Applicable,-1,0,0,45,86,65.5,EAB,DC,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,Data Engineer,Not Specified,Masters,3.5,DC,1001 - 5000,Large,2007,19,Private
data engineer,$75K-$143K (Glassdoor est.),SpringML,"Herndon, VA","Pleasanton, CA",Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,-1,0,0,75,143,109.0,SpringML,VA,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Data Engineer,Not Specified,Not_Specified,4.4,VA,Unknown,Unknown,2015,11,Private
staff data engineer,$126K-$228K (Glassdoor est.),Samsung Research America,"Mountain View, CA","Mountain View, CA",Computer Hardware & Software,Information Technology,$50 to $100 million (USD),"Sony, LG Electronics, Nokia",0,0,126,228,177.0,Samsung Research America,CA,1,1,1,0,1,0,0,0,0,0,1,0,0,1,1,0,Data Engineer,Not Specified,PhD,3.7,CA,1001 - 5000,Large,1988,38,Subsidiary
data scientist,$80K-$134K (Glassdoor est.),Systems & Technology Research,"Arlington, VA","Woburn, MA",Aerospace & Defense,Aerospace & Defense,$100 to $500 million (USD),-1,0,0,80,134,107.0,Systems & Technology Research,VA,1,1,0,1,1,0,0,1,1,1,1,0,0,0,0,0,Data Scientist,Not Specified,PhD,4.7,VA,201 - 500,Medium,2010,16,Private
data scientist,$120K-$189K (Glassdoor est.),Netskope,"Santa Clara, CA","Santa Clara, CA",Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,"Skyhigh Networks, Zscaler, NortonLifeLock",0,0,120,189,154.5,Netskope,CA,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,Data Scientist,Not Specified,PhD,4.1,CA,501 - 1000,Medium,2012,14,Private
